id,type,domain,enabled,date_added,date_modified,comment
111,0,ns2.dropbox.com,1,1660604052,1660604052,"Dropbox nameserver. Used to download files from Dropbox - qjz9zk"
112,0,o1.email.plex.tv,1,1660604053,1660604053,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
113,0,o2.sg0.plex.tv,1,1660604053,1660604053,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
114,0,ocsp.apple.com,1,1660604054,1660604054,"iOS developers are able to distribute apps outside of the App Store using an Enterprise provisioning profile. Apple can revoke these kinds of apps by using this domain. - qjz9zk"
115,0,office.com,1,1660604054,1660604054,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
116,0,office.net,1,1660604055,1660604055,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
117,0,office365.com,1,1660604055,1660604055,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
118,0,officeclient.microsoft.com,1,1660604056,1660604056,"Used by Microsoft Office apps. - qjz9zk"
119,0,om.cbsi.com,1,1660604056,1660604056,"CBS All Access on straming platforms. - qjz9zk"
120,0,onedrive.live.com,1,1660604057,1660604057,"Owned by Microsoft. Used to sign in to One Drive. - qjz9zk"
121,0,outlook.live.com,1,1660604058,1660604058,"Owned by Microsoft. Used for Outlook email. - qjz9zk"
122,0,outlook.office365.com,1,1660604058,1660604058,"Owned by Microsoft. Used for Outlook email.ent - qjz9zk"
123,0,placehold.it,1,1660604059,1660604059,"Placehold.it, Image placeholders often used during web page loading. - qjz9zk"
124,0,placeholdit.imgix.net,1,1660604060,1660604060,"Placehold.it, Image placeholders often used during web page loading. - qjz9zk"
125,0,players.brightcove.net,1,1660604060,1660604060,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
126,0,pricelist.skype.com,1,1660604061,1660604061,"Used to make group calls, group chats etc. on Skype. - qjz9zk"
127,0,products.office.com,1,1660604062,1660604062,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
128,0,proxy.plex.bz,1,1660604062,1660604062,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
129,0,proxy.plex.tv,1,1660604063,1660604063,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
130,0,proxy02.pop.ord.plex.bz,1,1660604063,1660604063,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
131,0,pubsub.plex.bz,1,1660604064,1660604064,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
132,0,pubsub.plex.tv,1,1660604065,1660604065,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
133,0,raw.githubusercontent.com,1,1660604066,1660604066,"Owned by GitHub. It is used to serve unprocessed versions of files stored in GitHub repositories.  - qjz9zk"
134,0,redirector.googlevideo.com,1,1660604068,1660604068,"Used by YouTube to play embedded videos on third-party websites. - qjz9zk"
135,0,res.cloudinary.com,1,1660604068,1660604068,"Cloudinary provides a cloud-based image and video management services. It enables users to upload, store, manage, manipulate, and deliver images and video for websites and apps. - qjz9zk"
136,0,s.gateway.messenger.live.com,1,1660604069,1660604069,"Owned by Microsoft. It is a personal information manager web app from Microsoft consisting of webmail, calendaring, contacts, and tasks services. - qjz9zk"
137,0,s.marketwatch.com,1,1660604070,1660604070,"Images are loaded on marketwatch.com using this domain. - qjz9zk"
138,0,s.youtube.com,1,1660604071,1660604071,"Used to record YouTube watch history. Blocking this domain will pause your watch history on YouTube. - qjz9zk"
139,0,s.ytimg.com,1,1660604072,1660604072,"Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk"
140,0,s1.wp.com,1,1660604072,1660604072,"Owned by WordPress. Used to feliver static files and media for websites which are hosted on wordpress.com platform. - qjz9zk"
141,0,s2.youtube.com,1,1660604073,1660604073,"Used to record YouTube watch history. Blocking this domain will pause your watch history on YouTube. - qjz9zk"
142,0,s3.amazonaws.com,1,1660604074,1660604074,"Used to deliver files that are stored in Amazon AWS S3 storage buckets. - qjz9zk"
143,0,sa.symcb.com,1,1660604074,1660604074,"Owned by Symantec. These are Symantec Certificate Revocation List servers and are used by a number of companies including Microsoft. - qjz9zk"
144,0,secure.avangate.com,1,1660604075,1660604075,"Used to perform online payments. - qjz9zk"
145,0,secure.brightcove.com,1,1660604077,1660604077,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
146,0,secure.surveymonkey.com,1,1660604077,1660604077,"Used by Survey Monkey to deliver surveys. - qjz9zk"
147,0,services.sonarr.tv,1,1660604078,1660604078,"Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk"
148,0,skyhook.sonarr.tv,1,1660604078,1660604078,"Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk"
149,0,spclient.wg.spotify.com,1,1660604079,1660604079,"Spotify on Web and desktop player does not work if this domain is blocked. - qjz9zk"
150,0,ssl.p.jwpcdn.com,1,1660604080,1660604080,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
151,0,staging.plex.tv,1,1660604081,1660604081,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
152,0,status.plex.tv,1,1660604081,1660604081,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
153,0,t.co,1,1660604082,1660604082,"Owned by Twitter. Used as a URL shortner while sharing Twitter posts. - qjz9zk"
154,0,t0.ssl.ak.dynamic.tiles.virtualearth.net,1,1660604083,1660604083,"Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com. - qjz9zk"
155,0,t0.ssl.ak.tiles.virtualearth.net,1,1660604084,1660604084,"Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com. - qjz9zk"
